prompt_id,prompt,q_text,clip_score,aesthetic,q_image,semantic_score,wer_inv,q_audio,transcript
1,An elegant owl librarian wearing reading glasses.,0.8461,0.3357,0.7516,0.522,0.8537,0.1751,0.4568,"The scene unfolds in a serene and mystical atmosphere, as if the very essence of knowledge has taken flight. In the hear"
2,"A red fox sitting at a pottery wheel, shaping a clay vase with its paws.",0.8619,0.3594,0.7474,0.5346,0.885,0.1858,0.4743,"The scene unfolds in a serene, sunlit studio, filled with the gentle scent of clay and the soft hum of a wheel spinning "
3,"A majestic eagle wearing a pilot's headset, flying a vintage biplane through the",0.856,0.3409,0.6658,0.4902,0.8859,0.1992,0.4836,"The scene unfolds like a breathtaking work of art, a symphony of light, sound and movement. The majestic eagle, its feat"
4,"A squirrel wearing a business suit, aggressively speaking into a tiny gold smart",0.8591,0.3538,0.5638,0.4533,0.8601,0.18,0.4622,"The scene unfolds in a bustling city square, surrounded by towering skyscrapers in the constant hum of urban activity. A"
5,"An astronaut riding a bicycle on a ring of Saturn, delivering a cardboard pizza ",0.8576,0.3911,0.7113,0.5384,0.8685,0.1619,0.4528,"The scene unfolds in a breathtaking otherworldly setting. The astronaut, clad in a sleek white spacesuit, adorned with t"
6,A fluffy kitten wearing heavy metal spiked armor.,0.8529,0.3962,0.8981,0.6157,0.8828,0.2196,0.4962,"In this peculiar scene, a small adorable kitten is dressed in a set of heavy metal spiked armor that seems to be at leas"
7,A cat wearing headphones DJing at a packed nightclub.,0.8479,0.3736,0.5941,0.4778,0.8431,0.166,0.4473,"The dimly lit night club pulsed with an electric energy, the air thick with anticipation, as the crowd waited for the ma"
8,A golden retriever in a tuxedo swimming.,0.8395,0.352,0.6527,0.4911,0.8603,0.2051,0.479,"The scene unfolds on a warm summer day, with the sun shining brightly overhead. The air is filled with the sweet scent o"
9,A hamster lifting a tiny barbell in a gym.,0.8486,0.3776,0.6278,0.4949,0.868,0.1949,0.4748,"The scene unfolds in a miniature gym, complete with tiny weights, exercise equipment, and a miniature mirror. The walls "
10,A squirrel wearing a cowboy hat riding a skateboard.,0.8479,0.3969,0.7453,0.556,0.8687,0.1739,0.461,"The scene unfolds like a whimsical dream, a fusion of the wild and the west. In the center of this vibrant to-blow, a sq"
11,A penguin wearing a grass skirt doing the hula dance.,0.8467,0.3563,0.9637,0.6139,0.8184,0.2134,0.4702,"The scene unfolds on a sun-kissed beach, with the warm golden sand stretching out as far as the eye can see, the air is "
12,A pug wearing sunglasses sunbathing on a pool float.,0.8503,0.363,0.6978,0.5164,0.8706,0.186,0.4697,"The scene is a picturesque depiction of a carefree summer day, a pug, with its characteristic wrinkled face and adorable"
14,A frog playing a miniature electric guitar on a lilypad.,0.8503,0.3735,0.8296,0.5756,0.8466,0.1786,0.4568,"The scene unfolds on a serene and tranquil pond, surrounded by lush greenery and vibrant flowers. The warm sunlight cast"
15,A fancy owl drinking a cup of hot coffee.,0.8458,0.3311,0.871,0.5646,0.8387,0.17,0.4485,"The scene unfolds in a cozy, upscale atmosphere, reminiscent of a luxurious parlor or a high-end cafe. The walls are ado"
16,A baby monkey wearing a diaper and riding a tricycle.,0.8583,0.335,0.7335,0.5144,0.8692,0.1953,0.4755,"The scene is a whimsical and humorous one, filled with a sense of childlike wonder and playfulness. In the center of the"
18,Darth Vader aggressively vacuuming a living room rug.,0.8482,0.3793,0.712,0.5318,0.8286,0.2008,0.4654,"The scene unfolds in a dimly lit, opulent living room. With a grandiose chandelier hanging from the ceiling, casting an "
19,Batman crying while chopping a massive onion.,0.849,0.3909,0.7304,0.5462,0.8427,0.1914,0.464,The dimly lit kitchen of Wayne Manor was a stark contrast to the dark gritty streets of Gotham City that Batman had grow
20,Shrek doing a delicate ballet dance on a stage.,0.8628,0.3603,0.893,0.5912,0.8627,0.1639,0.4523,"The scene unfolds in a grand ornate theater. The walls adorned with intricate gold filigree, and the chandel is casting "
21,An astronaut playing the bagpipes on the moon.,0.8565,0.3337,0.7029,0.5013,0.8388,0.1959,0.4657,"The scene unfolds on the lunar surface, bathed in the stark unforgiving light of the moon. The horizon stretches out in "
22,A medieval knight trying to use a modern smartphone.,0.8554,0.381,0.7997,0.5685,0.8856,0.1885,0.4763,"The medieval knight, clad in heavily armored plate mail, stood awkwardly in the modern world, his eyes fixed on the slee"
23,A scary T-Rex wearing a pink frilly apron baking cookies.,0.8569,0.3644,0.8812,0.5894,0.8854,0.181,0.4712,"The scene unfolds in a cozy, yet eerie kitchen. The walls are adorned with vintage baking utensils and colorful ceramic "
24,Superman getting a painful leg wax at a salon.,0.8507,0.374,0.7625,0.5494,0.8454,0.1858,0.4612,"The scene unfolded in a bustling beauty salon, the sounds of gentle chatter and the hum of hair dryers filling the air. "
25,Iron Man attempting to knit a colorful winter scarf.,0.8512,0.3752,0.7868,0.5599,0.8404,0.1556,0.4394,"The scene unfolds in Tony Stark's sleek, high-tech laboratory, located beneath the Stark Industries headquarters. The ro"
26,A mummy covered in bandages getting stuck in a revolving door.,0.8552,0.3328,0.7081,0.5029,0.878,0.1753,0.4649,"The scene unfolds in a grand upscale hotel lobby, with a sense of opulence and luxury surrounding the mummy. The mummy w"
27,A slice of pepperoni pizza skateboarding down a handrail.,0.8452,0.3259,0.6915,0.492,0.8707,0.1815,0.4667,"What a surreal and whimsical scene. The slice of pepperoni pizza, once a humble and savory delight, has somehow been imb"
28,A giant angry taco lifting weights in a gym.,0.845,0.395,0.6554,0.5167,0.8465,0.1983,0.4699,The scene unfolds in a dimly lit bustling gym. The air thick with the smell of sweat and the hum of machinery. The walls
29,An avocado playing a tiny set of drums.,0.8459,0.3421,0.766,0.5316,0.8614,0.1736,0.4583,"The scene unfolds in a whimsical, sun-drenched backyard, where a miniature drum set sits a top-of-colorful hand-painted "
30,A banana slipping and falling on a human banana peel.,0.8463,0.3136,0.3864,0.3493,0.8561,0.1873,0.4657,"The scene unfolds in a comical and unpredictable manner. A human, likely a careless individual, has discarded a banana p"
