prompt_id,prompt,q_text,q_image,q_audio,q_combined,judge_mean,judge_grade,text_score,image_score,lr_pred,nb_p_good,nb_p_good_loo,lr_gr,lr_gr_loo
1,A fox exploring a cave in a snowy village,0.839816,0.472127287863875,0.862416035808875,0.7647,4.25,0.8125,4.0,4.5,3.7338,0.3087,0.305,0.6291,0.6458
2,A flamingo blacksmith exploring a cave,0.836263,0.436093930382,0.8819092736755,0.756,3.0,0.5,4.0,2.0,3.6441,0.2738,0.2756,0.5737,0.5987
3,A mantis sailing a paper boat on a wooden bridge,0.841654,0.449645108671875,0.8611945812955,0.7613,3.0,0.5,3.0,3.0,3.7009,0.265,0.2665,0.5578,0.5833
4,"A panda brewing coffee at dawn in a neon nightclub, photorealistic",0.830942,0.499144255662,0.8538280439979999,0.7634,4.25,0.8125,5.0,3.5,3.7157,0.3006,0.2925,0.6085,0.6199
5,A chameleon archer brewing coffee at dawn,0.844609,0.506517395344875,0.8686621640995,0.7758,3.75,0.6875,4.0,3.5,3.8574,0.4746,0.4809,0.8504,0.8641
6,A mantis carpenter chasing fireflies,0.825673,0.4354886583875,0.841404361769875,0.7454,3.25,0.5625,3.5,3.0,3.528,0.1079,0.111,0.2203,0.2729
7,A cheerful butterfly professor with a paper lantern,0.82542,0.47824559735550004,0.8738730339795,0.7565,3.5,0.625,4.0,3.0,3.6464,0.2682,0.2705,0.5808,0.6065
8,"A hippo skateboarding down a hill, in warm golden light",0.84751,0.472967199023875,0.8831311044198751,0.7719,4.0,0.75,4.5,3.5,3.8132,0.4185,0.4142,0.7844,0.7917
9,"A toucan reading under an umbrella, in a dreamy haze",0.838554,0.442526029678,0.8500471954638751,0.7568,3.75,0.6875,2.5,5.0,3.6476,0.1954,0.1974,0.433,0.4672
10,A sloth solving a crossword at a mountain lake at sunrise,0.836536,0.511506827192,0.873699560718,0.7714,4.0,0.75,3.5,4.5,3.8062,0.462,0.4506,0.8362,0.8322
11,A lamb and a ant dancing in the rain,0.826722,0.47813554881487497,0.8480405231848751,0.7555,3.5,0.625,4.0,3.0,3.6361,0.1967,0.1995,0.4311,0.467
12,A kangaroo dj at a mountain lake at sunrise,0.832503,0.512613935546875,0.864534303746875,0.7681,4.5,0.875,4.5,4.5,3.7637,0.406,0.3937,0.7588,0.7578
13,"A llama reading tarot cards in a sunflower field, in a cozy hand-drawn",0.855959,0.474207091838,0.8957225289520001,0.7792,3.5,0.625,3.5,3.5,3.8975,0.4899,0.4995,0.8678,0.8841
14,A firefly and a goose building a birdhouse,0.824757,0.44729738104800004,0.894117696073875,0.751,3.25,0.5625,3.5,3.0,3.591,0.2473,0.2513,0.5258,0.5574
15,A otter rowing across a misty lake under a starry sky,0.840308,0.492078033671875,0.8701643558195,0.7698,4.0,0.75,4.0,4.0,3.7899,0.3971,0.3926,0.7583,0.7669
16,A tiny llama holding a wooden music box in a cherry blossom park,0.853549,0.44165895044887504,0.888292080546875,0.7701,3.75,0.6875,4.0,3.5,3.7947,0.3824,0.3875,0.7305,0.75
17,A wolf sipping tea in a garden in an autumn park,0.840809,0.4836418589555,0.879656072398,0.7691,3.75,0.6875,4.0,3.5,3.7831,0.4005,0.4024,0.7669,0.7804
18,A cat and a bat meditating under a waterfall,0.842015,0.476092017971875,0.882892102392,0.7686,3.5,0.625,4.5,2.5,3.7788,0.3946,0.3965,0.7566,0.7706
19,A seahorse botanist ice skating at night,0.826807,0.443979875518,0.878310819121875,0.7506,3.25,0.5625,4.0,2.5,3.5841,0.2245,0.2264,0.4942,0.5244
20,A ant gardening on a balcony on a quiet beach at dusk,0.827927,0.40255510083199997,0.874171499908875,0.7425,4.0,0.75,4.5,3.5,3.4844,0.1742,0.1516,0.3927,0.3789
21,A cat perfumer solving a crossword,0.821497,0.47923055942200005,0.842480335498875,0.7516,3.25,0.5625,3.0,3.5,3.5965,0.1504,0.1554,0.3323,0.3803
22,A tiny ladybug holding a wooden music box on a train platform,0.854073,0.40029211444887497,0.8806601802195001,0.7613,4.0,0.75,4.5,3.5,3.6918,0.2947,0.256,0.6182,0.5829
