prompt_id,prompt,q_text,q_image,q_audio,judge_mean,judge_grade,nb_p_good_loo,lr_gr_loo,s1_text_image,s2_text_audio,s3_image_audio,tsas,wtsas_final
1,A fox exploring a cave in a snowy village,0.839816,0.472127287863875,0.862416035808875,4.25,0.8125,0.305,0.6458,0.4255,0.0647,0.0411,0.1771,0.101
2,A flamingo blacksmith exploring a cave,0.836263,0.436093930382,0.8819092736755,3.0,0.5,0.2756,0.5987,0.4348,-0.0212,0.0271,0.1469,0.0644
3,A mantis sailing a paper boat on a wooden bridge,0.841654,0.449645108671875,0.8611945812955,3.0,0.5,0.2665,0.5833,0.4361,0.062,0.0254,0.1745,0.0963
4,"A panda brewing coffee at dawn in a neon nightclub, photorealistic",0.830942,0.499144255662,0.8538280439979999,4.25,0.8125,0.2925,0.6199,0.4406,0.2526,0.1741,0.2891,0.1995
5,A chameleon archer brewing coffee at dawn,0.844609,0.506517395344875,0.8686621640995,3.75,0.6875,0.4809,0.8641,0.4462,0.1188,0.0489,0.2046,0.1252
6,A mantis carpenter chasing fireflies,0.825673,0.4354886583875,0.841404361769875,3.25,0.5625,0.111,0.2729,0.3816,0.0241,0.1199,0.1752,0.0985
7,A cheerful butterfly professor with a paper lantern,0.82542,0.4782455973555,0.8738730339795,3.5,0.625,0.2705,0.6065,0.4133,0.0631,0.1845,0.2203,0.1341
8,"A hippo skateboarding down a hill, in warm golden light",0.84751,0.472967199023875,0.8831311044198751,4.0,0.75,0.4142,0.7917,0.4871,-0.0085,0.0807,0.1865,0.0866
9,"A toucan reading under an umbrella, in a dreamy haze",0.838554,0.442526029678,0.8500471954638751,3.75,0.6875,0.1974,0.4672,0.3673,-0.0166,0.0079,0.1195,0.0571
10,A sloth solving a crossword at a mountain lake at sunrise,0.836536,0.511506827192,0.873699560718,4.0,0.75,0.4506,0.8322,0.4624,0.126,0.1302,0.2395,0.1517
11,A lamb and a ant dancing in the rain,0.826722,0.4781355488148749,0.8480405231848751,3.5,0.625,0.1995,0.467,0.35,0.0987,0.1048,0.1845,0.1198
12,A kangaroo dj at a mountain lake at sunrise,0.832503,0.512613935546875,0.864534303746875,4.5,0.875,0.3937,0.7578,0.4917,0.0881,0.1051,0.2283,0.1329
13,"A llama reading tarot cards in a sunflower field, in a cozy hand-drawn",0.855959,0.474207091838,0.8957225289520001,3.5,0.625,0.4995,0.8841,0.4519,0.0001,0.0586,0.1702,0.0832
14,A firefly and a goose building a birdhouse,0.824757,0.447297381048,0.894117696073875,3.25,0.5625,0.2513,0.5574,0.411,0.0128,0.0544,0.1594,0.0828
15,A otter rowing across a misty lake under a starry sky,0.840308,0.492078033671875,0.8701643558195,4.0,0.75,0.3926,0.7669,0.3733,0.0644,0.0888,0.1755,0.109
16,A tiny llama holding a wooden music box in a cherry blossom park,0.853549,0.441658950448875,0.888292080546875,3.75,0.6875,0.3875,0.75,0.4447,0.0639,0.0863,0.1983,0.1141
17,A wolf sipping tea in a garden in an autumn park,0.840809,0.4836418589555,0.879656072398,3.75,0.6875,0.4024,0.7804,0.4453,-0.0152,0.0323,0.1541,0.0695
18,A cat and a bat meditating under a waterfall,0.842015,0.476092017971875,0.882892102392,3.5,0.625,0.3965,0.7706,0.4387,0.0421,0.0934,0.1914,0.1076
19,A seahorse botanist ice skating at night,0.826807,0.443979875518,0.878310819121875,3.25,0.5625,0.2264,0.5244,0.3295,0.0656,0.0566,0.1506,0.0937
20,A ant gardening on a balcony on a quiet beach at dusk,0.827927,0.4025551008319999,0.874171499908875,4.0,0.75,0.1516,0.3789,0.3375,0.0717,0.0601,0.1564,0.0962
21,A cat perfumer solving a crossword,0.821497,0.479230559422,0.842480335498875,3.25,0.5625,0.1554,0.3803,0.3318,0.0764,0.1641,0.1907,0.1229
22,A tiny ladybug holding a wooden music box on a train platform,0.854073,0.4002921144488749,0.8806601802195001,4.0,0.75,0.256,0.5829,0.3857,0.1397,0.0927,0.206,0.1342
23,A raccoon and a peacock painting a mural,0.832437,0.463107972788875,0.871709414814875,3.25,0.5625,0.2732,0.6068,0.4064,0.0288,0.0796,0.1716,0.0953
24,A lion and a seahorse repairing a pocket watch,0.841213,0.458584715173875,0.850736286796875,3.5,0.625,0.24,0.5397,0.452,0.0605,0.1037,0.2054,0.1171
25,A dragonfly coach building a birdhouse,0.838129,0.445436433834875,0.844145614302,3.5,0.625,0.1759,0.4284,0.371,-0.0036,0.1045,0.1573,0.0845
26,A toucan and a pufferfish planting a bonsai tree,0.842935,0.456241323249875,0.872795182753875,3.75,0.6875,0.3225,0.6718,0.3765,0.0906,0.0444,0.1705,0.1061
27,A cheerful narwhal fisherman with a tiny umbrella,0.844799,0.444715293769875,0.8850208655920001,3.75,0.6875,0.3436,0.6941,0.3803,0.0678,0.0628,0.1703,0.1032
28,A ladybug dj dancing in the rain,0.829717,0.479712245022,0.8799284861688751,3.75,0.6875,0.3179,0.6747,0.3703,0.021,0.0747,0.1553,0.0883
29,"A moth planting a bonsai tree in a candlelit cafe, photorealistic",0.837127,0.5233834505995,0.862450525924875,3.75,0.6875,0.4919,0.8711,0.4503,0.128,0.0975,0.2253,0.1426
30,"A iguana tending a beehive, in soft pastel colors",0.847538,0.464267971118,0.8951570443098751,4.0,0.75,0.4144,0.7833,0.3486,-0.0104,0.0678,0.1353,0.0727
31,A lemur tailor in a lantern-lit alley,0.831761,0.524640396542,0.8402973749195,3.75,0.6875,0.3307,0.6808,0.4279,0.1246,0.1398,0.2308,0.1499
32,"A hippo sketching in a cafe, in soft pastel colors",0.838866,0.4399641336879999,0.886084380721875,3.5,0.625,0.3055,0.6414,0.4236,0.0533,0.0953,0.1908,0.1095
